ABADUG,X,X,#
C,153,1837.64322,0.6478188727410636
H,90,90.71469,0.03197937857428878
N,6,84.040218,0.029626446906093798
O,27,431.983935,0.15228600566651285
Zn,6,392.28,0.13828929611204097
ABEDEU,X,X,#
C,52,624.55848,0.46279146966751666
H,34,34.269994,0.025393716355843855
Au,1,196.966569,0.14595022061485471
Co,3,176.799582,0.1310066887417534
F,1,18.998403163,0.014077623157307489
N,2,28.013406,0.020757648400087095
O,13,207.992265,0.15412014900322157
P,2,61.947523996,0.04590248405941521
ABELOM01,X,X,#
C,135,1621.4499,0.535309446409701
H,96,96.762336,0.031945354905797266
Cu,6,381.276,0.12587539367655157
I,6,761.42682,0.2513793176685256
N,12,168.080436,0.055490487339424535
ABEXEN,X,X,#
C,22,264.23628,0.46916917054287854
H,10,10.07941,0.017896665928166997
In,1,114.818,0.2038670307627409
N,1,14.006703,0.024869837058523712
O,8,127.99524,0.22726410084276338
S,1,32.0648,0.05693319486492653
ACEMEE,X,X,#
C,38,456.40812,0.584184113964992
H,22,22.174702,0.028382730439387747
Cu,3,190.638,0.24400900474351364
N,8,112.053624,0.14342415085210658
ACENIF,X,X,#
C,38,456.40812,0.360791036938881
H,40,40.31764,0.03187113135175707
N,4,56.026812,0.04428924620766988
O,20,319.9881,0.2529508861654397
Zn,6,392.28,0.3100976993362524
ACIBOE,X,X,#
C,21,252.22554,0.33383970311689826
H,21,21.166761,0.02801581952480443
N,1,14.006703,0.018538937695074687
O,17,271.989885,0.35999931830535203
Zn,3,196.14,0.2596062213578705
ACIPIP,X,X,#
C,16,192.17184,0.3246796950672373
H,10,10.07941,0.017029444924176518
In,2,229.636,0.38797644054644065
O,10,159.99405,0.2703144194621455
ACODON,X,X,#
C,43,516.46182,0.4316538125703071
H,28,28.222348,0.023587966510062605
O,17,271.989885,0.22732652500974687
P,2,61.947523996,0.05177514363436195
Tb,2,317.8507,0.2656565522755214
ACOLUB,X,X,#
C,64,768.68736,0.5069353761062056
H,50,50.39705,0.033235940677355816
Cd,3,337.242,0.22240498413920715
N,4,56.026812,0.03694866663769738
O,19,303.988695,0.20047503243953388
ACUFEK,X,X,#
C,192,2306.06208,0.5140928069907691
H,120,120.95291999999999,0.026964159679747184
Cu,12,762.552,0.1699965068401042
N,24,336.160872,0.07494069122672734
O,60,959.9643,0.21400583526265204
ACURUO,X,X,#
C,74,888.79476,0.4597865793445
H,70,70.55587,0.03649958750879138
Cd,4,449.656,0.23261365100952047
N,10,140.06703,0.07245873119531382
O,24,383.98572,0.19864145094187435
ADABAK01,X,X,#
C,17,204.18258,0.371612393973233
H,14,14.111174,0.02568234347862997
Cu,2,127.092,0.23130750123172175
N,10,140.06703,0.2549220620829683
O,4,63.99762,0.11647569923344711
ADASIJ,X,X,#
C,66,792.70884,0.4407991912615582
H,48,48.381168,0.026903168793588297
Cu,6,381.276,0.21201498452753706
O,36,575.97858,0.3202826554173165
ADATAC,X,X,#
C,102,1225.09548,0.503324706338223
H,72,72.571752,0.02981576241212673
N,12,168.080436,0.06905505527691645
O,36,575.97858,0.23663808606624417
Zn,6,392.28,0.16116638990648968
ADATIK,X,X,#
C,96,1153.03104,0.3464102406762734
H,96,96.762336,0.02907073872196748
Cu,12,762.552,0.22909688697380917
N,30,420.20109,0.12624288130121147
O,56,895.96668,0.26917925232673845
ADEGEY,X,X,#
C,42,504.45108,0.49929798625778493
H,18,18.142938,0.01795760335808944
Cd,2,224.828,0.22253132584108112
Cl,2,70.9058,0.07018147954802129
O,12,191.99286,0.19003160499502317
ADIPAI,X,X,#
C,42,504.45108,0.5815599899628575
H,32,32.254112,0.03718438079462707
Cu,3,190.638,0.21977836456716326
N,10,140.06703,0.16147726467535217
ADUJER,X,X,#
C,24,288.25776,0.5137805659481104
H,17,17.134997,0.03054082032754009
Cl,2,70.9058,0.1263800220087866
N,9,126.060327,0.2246855250303196
Ni,1,58.6934,0.10461306668524316
ADUWON,X,X,#
C,108,1297.15992,0.5817167988177298
H,84,84.667044,0.037969290479650246
Ni,3,176.0802,0.07896390313939519
O,42,671.97501,0.30135000756322466
AFADAN,X,X,#
C,18,216.19332,0.3942618660777693
H,24,24.190584,0.04411526123633713
Fe,1,55.845,0.10184197139445857
N,18,252.120654,0.459780901291435
AFITIT,X,X,#
C,184,2209.97616,0.6339453711826218
H,128,129.016448,0.03700916846814466
N,8,112.053624,0.032143277174102154
O,32,511.98096,0.1468649144729394
Zn,8,523.04,0.150037268702192
AFUKAP,X,X,#
C,64,768.68736,0.571976578838488
H,50,50.39705,0.037500203258906475
Mn,3,164.814132,0.12263740536281871
N,4,56.026812,0.04168928216926468
O,19,303.988695,0.22619653037052223
AGOFEJ,X,X,#
C,104,1249.11696,0.548023162118083
H,104,104.825864,0.045990090040119315
Cu,6,381.276,0.167276632894116
N,16,224.107248,0.09832222813029569
O,20,319.9881,0.14038788681738604
AGOVID,X,X,#
C,114,1369.22436,0.5204733869837121
H,72,72.571752,0.02758617701103564
In,6,688.908,0.26186963258539686
N,6,84.040218,0.03194560233014663
O,26,415.98453,0.15812520108970865
AHAFAR,X,X,#
C,36,432.38664,0.5131654668566856
H,36,36.285876,0.04306483312676776
Co,2,117.866388,0.13988628331516267
N,8,112.053624,0.13298757397532798
O,9,143.994645,0.1708958427260558
AHEQAH,X,X,#
C,36,432.38664,0.5456089661434936
H,21,21.166761,0.026709369618396216
Ho,1,164.93033,0.20811805572208528
N,1,14.006703,0.01767441922560089
O,10,159.99405,0.20188918929042401
AHUJEV,X,X,#
C,18,216.19332,0.299538652584408
