identifier, formula, density, mass
AVUDAX,C60 H68 Cl6 Cu3 N36 O3,1.1798878055318927,1744.7793110000002,6.0
AVUJAF,C72 H46 Co2 N4 O9,0.9855636181013476,1229.0264109999998,6.0
AVUJUZ,C70 H44 Co2 N6 O9,0.981115076931012,1231.002455,6.0
AVUKEK,C68 H42 Co2 N8 O9,0.9860247493331306,1232.978499,6.0
AVUPEP,C36 H16 Fe3 O14,0.6345785052754055,840.040366,6.0
AVUYEY,C60 H36 Co4 F3 N15 O10 S1,0.7333337130133412,1451.817656489,6.0
AWASEY,C60 H60 Cu12 I12 K1 N10 O31 Pr3,1.2149348100425361,4164.396365,5.0625
AWATAV,C54 H36 Co3 N42 S6,1.2753184541598857,1642.335744,6.0
AWEXUX,C46 H30 N4 O12 Zn2,1.1893173680628542,961.5119420000001,5.0
AXINAX01,C162 H138 Co11 O60,0.4552998826394023,3693.0651719999996,6.0
AXINIF,C54 H34 Co3 O14,0.7647879454285393,1083.641206,5.333333333333333
AXOYUK,C27 H21 Eu1 O9,1.234702376404513,641.415386,9.0
AXUKUB,C8 H3 Cd1 O4 S1,0.9637932232618688,307.586163,6.0
AXULAI,C32 H12 Cd4 O16 S4,0.8998654687333855,1230.344652,6.0
AXUVIB,C92 H56 N12 O16 Zn4,0.863177336379359,1847.023692,6.0
AYOQEM,C138 H126 Cu12 N6 O60,0.9138876800688931,3591.0392039999997,4.5
AZEKIC,C126 H83 O50 Y9,1.0236562558989812,3197.1351529999997,7.666666666666667
AZEKOI,C126 H83 O50 Tb9,1.2208680619238677,3827.310743,7.666666666666667
AZUHUB,C20 H17 Fe1 N1 O14 P2 Zn2,1.2607505894799371,743.900693996,4.0
AZUJAJ,C16 H8 Cu1 O14 P2 Zn2,1.1466237888814481,680.480561996,4.0
AZUJIR,C20 H7 Co1 N1 O14 P2 Zn2,1.2443721962747387,736.909477996,4.0
AZUJOX,C32 H20 Mn2 O30 P4 Zn4,1.1251572973279511,1379.775785992,4.319148936170213
BADXUC,C48 H30 N12 O12 Tb2,0.8855338291711697,1284.677746,8.0
BADZAK,C32 H16 O16 Zn3,0.9613246701041006,852.601216,4.666666666666667
BAGHEA,C26 H25 N1 O8 Zn1,1.235314662972048,544.859708,6.0
BAHCIZ,C264 H328 Cd8 Cu8 N24 O56,1.1397305724760367,6141.24756,5.0
BAKSIS,C58 H44 Cu3 N4 O17,0.7377377331419624,1259.6270210000002,6.0
BALWUK,C18 H10 N2 Ni1 O4,0.8070695929190197,376.977156,6.0
BARLEO,C25 H16 F8 O12 P4 Zr3,0.8111617150484259,1057.942689296,6.0
BASMAM,C18 H14 O10 Tb1,0.43633484102185643,549.223894,9.0
BAXREY,C84 H145 Cu10 N34 O32 W3,1.5503437627199983,3330.242467,6.153846153846154
BAYQOK,C28 H16 N6 O8 Zn2,1.1601570460851802,695.2232339999999,5.0
BAYQUQ,C20 H12 Cd1 N6 O4,0.7980623990974531,512.76193,7.0
BAZFUF01,C108 H72 Cu6 O30,0.3594742876492586,2230.989822,5.0
BAZFUF,C108 H72 Cu6 O30,0.3573625654363737,2230.989822,5.0
BAZGAM,C180 H120 Cu6 O30,0.13102797295039692,3144.14427,5.0
BAZTUU,C184 H176 Cu8 I8 N16 Ni4 O8,1.229651685646336,4497.853624,6.0
BEBWOX,C36 H24 Co2 N6 O8,1.3615923129354106,786.47907,6.0
BECKEC,C45 H58 Cu6 N12 O17 S6 Zn3,1.657593227427921,1808.818999,3.4444444444444446
BEDHOJ,C16 H10 N4 Ni1 O4,1.314520272221481,380.96908199999996,6.0
BEDTAI,C37 H33 Co3 N5 O13,1.1017404721168869,932.484795,5.333333333333333
BEDYEQ,C48 H32 Cl1 Fe1 N4 O16 Zr3,0.48989612495389706,1285.756824,7.25
BEFVIV,C23 H16 N1 O8 U1,1.0379576955589407,672.404929,8.0
BEGZEW,C66 H48 Cu3 N12 O12,0.7823186683265382,1391.801304,6.0
BELQAN,C40 H36 Mn2 N4 O16,1.5277170770879904,938.6088560000001,5.0
BEPYIG,C23 H16 Cu2 O9,1.445451985852764,563.4607209999999,5.0
BEQJOZ,C36 H26 Ho3 N6 O22,1.6921044650117731,1389.411224,8.0
BEQJUF,C36 H26 N6 O22 Tb3,1.6602772546354951,1371.396284,8.0
BEQKAM,C99 H72 O90 Zn21,1.1266762552739304,4074.5614619999997,4.857142857142857
BETDUB,C19 H17 Eu1 N2 O8,1.3994772716484811,553.311703,9.0
BETHIT,C72 H48 Cd12 Cl3 N96 O12,0.8933629104966142,3905.117496,6.0
BETYEH,C66 H40 Cd1 N2 O12 Zn2,0.9230374725224267,1296.2067459999998,6.0
BETZOR,C42 H34 Mn3 O19 P2,1.1467496723174175,1069.471424996,6.0
BEXSII,C34 H29 Cu3 N3 O17,1.084801732315232,942.2434430000001,5.333333333333333
BICPUA,C66 H42 O16 Yb3,0.5627413074662125,1610.1948419999999,6.0
BIDPAH,C24 H15 In1 N1 O8,0.5816456634723043,560.196818,8.0
BIGWOG,C108 H64 N12 O74 Zn14,0.8077239002406261,3629.02455,4.428571428571429
BIHBAX,C72 H60 Ag6 Cr6 N12 O32,0.3358245780945234,2564.496936,4.0
BIHRUI,C50 H28 Cu3 O15,0.7076078715182514,1059.388423,6.0
BIJDUV,C149 H196 Br1 Cd3 N15 O27 Ti4,1.009676816982976,3237.854676,6.0
BIJZIG,C120 H108 N6 O13 Zn4,0.6172359538854716,2103.698911,4.0
BIPLAQ,C144 H104 Cu3 N12 O52 Zr12,0.48130652992985345,4119.74792,6.076923076923077
BIPXIK,C64 H50 Co8 N10 O28,1.176293269182042,1878.600332,6.0
BIXVIQ,C24 H12 Cu3 N18,0.7761585280620231,743.1117059999999,4.0
BOGNES,C186 H116 O16 P6 Zr3,0.41535035034414386,3066.423847988,8.0
BOGXIF02,C6 H10 Cu1 N3,1.1702266682914824,187.709959,3.0
BOGXIF,C6 H10 Cu1 N3,1.1771323654674841,187.709959,3.0
BOLZOU,C80 H58 Co5 N8 O20,1.293873724825933,1746.0274719999998,5.2
BOMWAE,C84 H74 Br1 Mn4 N12 O14,1.1120279932732098,1775.217576,6.0
BONMAT,C40 H30 N8 Ni2 O9,0.858269460120836,884.102899,6.0
BORKOL,C28 H16 Fe1 N6 S10,1.2329107316802195,812.9609939999999,6.0
BORKUR,C28 H16 Co1 N6 S10,1.247536161368729,816.049188,6.0
BOWDIC,C118 H102 Co9 N19 O43,1.08346820163255,3004.5778199999995,6.0
BOWNEJ,C42 H32 Cd2 N12 O4,1.279596897465939,993.611248,6.0
BOWSIQ,C26 H18 Cu1 N4 O6,1.211048639594546,545.9914200000001,5.0
BOWZUK,C27 H23 N7 O1 Zn1,0.9257464744708142,526.898949,4.0
BOXFAW,C172 H180 Cd4 O31,0.3711695343662613,3192.914215,8.0
