,Unnamed: 0,index,Price,Supply risk,Radioactive,Toxicity,log(Price),Density,Average CN,Formula
2082,2082,VAPROW,22.035709409958155,1.091635303379167,0.0,0.0,1.3431270365963741,1.1411417921870586,9.0,C32 H28 Cl1 N6 Nd1 O10
2083,2083,VASGII,64.91230034611537,1.8075864630786,0.0,0.0,1.8123269998247382,1.0802631085573249,6.0,C72 H66 In6 O30
2084,2084,VATLOV,9.616540052852269,0.7745834692285979,0.0,0.0,0.9830188447780238,1.302519808061693,8.0,C16 H8 Eu1 O9
2085,2085,VATLUB,98.129178703295,1.3998454044599882,0.0,0.0,1.9917981640120788,1.368583039700016,8.0,C16 H8 Dy1 O9
2086,2086,VATMAI,987.6032416312228,0.7489681768214739,0.0,0.0,2.994582506756292,1.407296624490226,8.0,C16 H8 O9 Tm1
2087,2087,VATMEM,224.4768543204444,0.7668751940389759,0.0,0.0,2.3511715677931364,1.3510007474859853,8.0,C16 H6 Lu1 O8
2088,2088,VATMIQ,8.632908015171774,0.7514211844859315,0.0,0.0,0.9361571134680735,1.376575250717916,8.0,C16 H8 Er1 O9
2089,2089,VATNAJ,8.968154030896542,0.7664187406009341,0.0,0.0,0.9527030587967671,1.33563931114888,8.0,C16 H8 Gd1 O9
2090,2090,VATNEN,16.960805052690542,0.7787213696646678,0.0,0.0,1.2294464624043824,1.4851291971129694,8.0,C18 H16 Ho1 N1 O9
2091,2091,VATNIR,5.720693711058108,0.7430032058616898,0.0,0.0,0.7574486960337614,1.3998624887235542,8.0,C16 H8 O9 Yb1
2092,2092,VATNOX,505.28028371853327,1.238473967072521,0.0,0.0,2.703532352187761,0.5632065209651582,6.0,C42 H28 O16 Sc3
2093,2093,VATVOE,0.5750447851395655,1.3748468525017,0.0,0.2309416807789419,-0.24029833064676387,1.3891122762608576,6.5,C74 H64 Cd4 N16 O20
2094,2094,VAXJAI,0.7956070946408003,1.754430338124378,0.0,0.2781842988254546,-0.09930135281053212,0.5886600900933546,4.0,C72 H48 N2 O26 Zn8
2095,2095,VAXJOW,0.8328881985158919,1.756392166081845,0.0,0.2912196498307314,-0.07941329154196239,0.5590503168041102,4.0,C66 H36 N2 O26 Zn8
2096,2096,VAZHEN,0.0161922721625209,0.9782695074240229,0.0,0.0,-1.7906922050819172,0.7300620488570659,6.0,C40 H26 Fe3 N6 O14
2097,2097,VAZJEO,0.1915059946608529,1.5785948598929105,0.0,0.0669601379933052,-0.7178176268787456,1.0373672101189892,6.0,C56 H40 F6 N4 Si1 Zn1
2098,2098,VAZTOG,0.9702596272966054,1.7656281442830906,0.0,0.339251617935876,-0.013112039326367324,0.591493011276246,4.0,C24 H13 O13 Zn4
2099,2099,VAZTUM,0.968992638982518,1.7633225446653222,0.0,0.3388086150288524,-0.01367952208382306,0.5932937905040209,4.0,C24 H14 O13 Zn4
2100,2100,VEBPEB,9.19112254039816,1.2189846814942498,0.0,0.0,0.9633685563620281,1.2487882227165632,6.0,C12 H10 Co1 N4 O4
2101,2101,VECWOT,16.97994631860136,1.2751815148828456,0.0,0.0,1.2299363129060457,1.5919449886708876,6.0,C14 H8 Co3 N2 O10
2102,2102,VEDNOL,69.28514799652349,1.636356417736371,0.0,0.0,1.840640148977841,1.3994833154972208,6.0,C16 H10 In2 O14
2103,2103,VEGBUG,10.398881332399414,0.772346546286913,0.0,0.0,1.0169866222510004,0.3119652290814854,8.0,C20 H14 O16 S6 Zr3
2104,2104,VEGCAN,389.2203453776989,1.6854153668944187,0.0,0.0,2.5901955336886258,0.3985732793106804,8.0,C20 H14 Hf3 O16 S6
