Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
natkif_P1,1.13E-06,4.02E-14,1.13E-06,2.84E-14,1.13E-06,0,-8.32505E-05,,-0.000175188,0,-1.0757E-06,0
nifqif_P1,4.35E-07,1.00E-14,4.35E-07,1.00E-14,4.35E-07,0,-0.000195114,,-0.000410587,0,-2.5214E-06,0
nasdiw_P1,2.65E-07,7.11E-15,2.65E-07,7.11E-15,2.65E-07,7.11E-15,-0.000246858,,-0.000519475,0,-3.1899E-06,0
nezpoa_P1_H,4.42E-07,1.00E-14,4.42E-07,0,4.42E-07,0,-0.000146002,,-0.000307239,0,-1.8868E-06,0
nifpie_P1,4.45E-07,0,4.45E-07,1.74E-14,4.45E-07,1.42E-14,-0.000191,,-0.000401929,0,-2.4681E-06,0
niwyav_P1_H,3.44E-07,0,3.44E-07,0,3.44E-07,0,-0.000124993,,-0.000263029,0,-1.6153E-06,0
nimrot_P1_H,3.01E-07,7.11E-15,3.01E-07,0,3.01E-07,7.11E-15,-0.000184925,,-0.000389147,0,-2.3899E-06,0
natkax_P1,5.28E-07,1.42E-14,5.28E-07,0,5.27E-07,0,-0.000286933,,-0.000603807,0,-3.7076E-06,0
napfug01_P1,6.74E-07,0,6.74E-07,0,6.74E-07,0,-8.38218E-05,,-0.00017639,0,-1.0831E-06,0
owizaw_P1_H,1.03E-06,2.84E-14,1.03E-06,2.84E-14,1.03E-06,2.84E-14,-0.000213294,,-0.000448844,0,-2.7561E-06,0
owavis_P1_H,4.53E-07,1.00E-14,4.53E-07,1.42E-14,4.53E-07,1.00E-14,-0.000326712,,-0.000687516,0,-4.2217E-06,0
oqanie_P1_H,3.62E-07,1.00E-14,3.62E-07,1.00E-14,3.62E-07,1.00E-14,-0.00015656,,-0.000329457,0,-2.0229E-06,0
okizoz_P1,3.61E-07,1.00E-14,3.61E-07,0,3.61E-07,0,-0.000391594,,-0.000824049,0,-5.0602E-06,0
omukue_P1_charged,6.13E-07,0,6.13E-07,1.42E-14,6.13E-07,0,-0.00017282,,-0.000363673,0,-2.2332E-06,0
okuwun_P1,1.60E-07,5.02E-15,1.60E-07,0,1.60E-07,3.55E-15,-0.000205211,,-0.000431835,0,-2.6518E-06,0
opegum_P1_charged,3.05E-07,1.00E-14,3.05E-07,7.11E-15,3.05E-07,1.00E-14,-0.000163504,,-0.000344069,0,-2.1125E-06,0
onucil_P1_H,6.49E-07,1.42E-14,6.49E-07,1.42E-14,6.48E-07,1.42E-14,-0.000317301,,-0.000667711,0,-4.1001E-06,0
owivew_P1_charged,4.88E-07,0,4.88E-07,0,4.88E-07,0,-8.12519E-05,,-0.000170982,0,-0.00000105,0
ovihor02_P1,2.68E-07,0,2.68E-07,7.11E-15,2.68E-07,0,-0.000158176,,-0.000332856,0,-2.0444E-06,0
osoceh_P1_H,6.48E-07,0,6.48E-07,1.42E-14,6.48E-07,1.42E-14,-8.33146E-05,,-0.000175323,0,-1.0765E-06,0
osimov_P1_H,2.94E-07,0,2.94E-07,7.11E-15,2.94E-07,7.11E-15,-0.000173418,,-0.000364931,0,-2.2409E-06,0
okojac_P1,3.10E-07,0,3.10E-07,1.23E-14,3.10E-07,1.00E-14,-0.000163805,,-0.000344703,0,-2.1168E-06,0
osohiq_P1_H,3.23E-07,7.11E-15,3.23E-07,7.11E-15,3.23E-07,0,-0.000203661,,-0.000428573,0,-2.6317E-06,0
opumiy_P1_charged,4.54E-07,0,4.54E-07,1.00E-14,4.54E-07,1.00E-14,-0.00031706,,-0.000667205,0,-4.0971E-06,0
otecex_P1,6.83E-07,2.01E-14,6.83E-07,0,6.83E-07,2.01E-14,-0.000149367,,-0.00031432,0,-1.9301E-06,0
owiteu_P1_charged,6.28E-07,1.42E-14,6.28E-07,2.01E-14,6.28E-07,1.42E-14,-8.66927E-05,,-0.000182432,0,-1.1202E-06,0
okukai_P1_charged,6.26E-07,1.42E-14,6.26E-07,1.42E-14,6.26E-07,2.01E-14,-0.000199042,,-0.000418853,0,-0.000002572,0
owilaj_P1_H,4.13E-07,1.00E-14,4.13E-07,1.74E-14,4.13E-07,1.00E-14,-0.000136591,,-0.000287433,0,-1.7653E-06,0
owitoe_P1_charged,6.17E-07,0,6.17E-07,1.42E-14,6.17E-07,2.01E-14,-8.83744E-05,,-0.000185971,0,-0.000001142,0
olucac_P1,2.39E-07,0,2.39E-07,7.11E-15,2.39E-07,0,-0.000306183,,-0.000644315,0,-3.9564E-06,0
osimip_P1,2.72E-07,1.00E-14,2.72E-07,7.11E-15,2.72E-07,0,-0.000289229,,-0.000608638,0,-3.7373E-06,0
owitaq_P1_charged,6.15E-07,1.42E-14,6.15E-07,0,6.15E-07,0,-8.64289E-05,,-0.000181877,0,-1.1169E-06,0
osaduk_P1_charged,4.22E-07,0,4.22E-07,0,4.22E-07,1.00E-14,-0.000214967,,-0.000452365,0,-2.7778E-06,0
opuluj_P1_charged,5.55E-07,2.01E-14,5.55E-07,2.01E-14,5.55E-07,0,-0.00024159,,-0.000508388,0,-3.1218E-06,0
oqofuy_P1,3.14E-07,7.11E-15,3.14E-07,7.11E-15,3.14E-07,0,-0.000391645,,-0.000824157,0,-5.0606E-06,0
osiwod01_P1,2.04E-07,0,2.04E-07,5.02E-15,2.04E-07,5.02E-15,-0.000232757,,-0.000489802,0,-3.0074E-06,0
omovix_P1_charged,5.27E-07,0,5.28E-07,1.42E-14,5.27E-07,1.42E-14,-0.000450557,,-0.000948128,0,-5.8221E-06,0
omopue_P1_charged,3.75E-07,1.00E-14,3.75E-07,1.00E-14,3.74E-07,1.00E-14,-0.000358904,,-0.000755258,0,-4.6376E-06,0
onixoz_P1,4.44E-07,1.00E-14,4.44E-07,1.00E-14,4.44E-07,1.00E-14,-0.000173062,,-0.000364182,0,-2.2363E-06,0
olicet_P1_charged,4.71E-07,1.00E-14,4.71E-07,0,4.71E-07,1.00E-14,-0.000148254,,-0.000311977,0,-1.9159E-06,0
owitiy_P1_charged,6.78E-07,2.84E-14,6.78E-07,0,6.78E-07,0,-8.15312E-05,,-0.00017157,0,-1.0534E-06,0
oxevoe_P1_charged,2.63E-07,0,2.63E-07,0,2.63E-07,7.11E-15,-0.000248172,,-0.00052224,0,-3.2069E-06,0
owivas_P1_charged,6.11E-07,1.42E-14,6.11E-07,1.42E-14,6.11E-07,0,-8.70253E-05,,-0.000183132,0,-1.1244E-06,0
onirip_P1_H,2.51E-07,7.11E-15,2.51E-07,0,2.51E-07,0,-0.000145296,,-0.000305755,0,-0.000001877,0
oragof_P1_charged_H,3.90E-07,1.00E-14,3.90E-07,1.00E-14,3.90E-07,1.00E-14,-0.000112527,,-0.000236795,0,-1.4539E-06,0
okujub_P1_charged_H,6.06E-07,2.01E-14,6.06E-07,2.01E-14,6.06E-07,0,-0.000098067,,-0.000206367,0,-1.2672E-06,0
oqeruy_P1,3.41E-07,1.00E-14,3.41E-07,0,3.41E-07,0,-0.000338784,,-0.000712919,0,-4.3777E-06,0
otaxox_P1,2.94E-07,0,2.95E-07,0,2.94E-07,0,-0.000191349,,-0.000402666,0,-2.4726E-06,0
opumaq_P1_charged,6.13E-07,1.42E-14,6.13E-07,2.01E-14,6.13E-07,2.01E-14,-0.000184185,,-0.00038759,0,-0.00000238,0
okukow_P1_charged,5.21E-07,1.42E-14,5.21E-07,0,5.21E-07,0,-0.000141828,,-0.000298455,0,-1.8325E-06,0
owituk_P1_charged,6.27E-07,1.42E-14,6.27E-07,1.42E-14,6.27E-07,1.42E-14,-8.79036E-05,,-0.00018498,0,-1.1359E-06,0
oqovic_P1,3.09E-07,0,3.09E-07,7.11E-15,3.09E-07,0,-0.000297358,,-0.000625745,0,-3.8423E-06,0
okehoe_P1_charged,6.90E-07,0,6.90E-07,2.01E-14,6.90E-07,2.01E-14,-0.000273396,,-0.00057532,0,-3.5327E-06,0
omitub_P1_charged_H,3.99E-07,0,3.99E-07,1.42E-14,3.99E-07,1.00E-14,-8.59532E-05,,-0.000180876,0,-1.1106E-06,0
omimuu_P1,4.47E-07,0,4.47E-07,0,4.47E-07,1.00E-14,-0.000180087,,-0.000378965,0,-2.3267E-06,0
oqucou_P1_charged_H,2.93E-07,1.00E-14,2.93E-07,0,2.93E-07,0,-0.000367936,,-0.000774265,0,-4.7544E-06,0
omusas_P1_H,1.12E-06,4.02E-14,1.12E-06,0,1.12E-06,0,-0.00016698,,-0.000351385,0,-2.1576E-06,0
oqesaf_P1,3.37E-07,0,3.37E-07,1.23E-14,3.37E-07,7.11E-15,-0.000342902,,-0.000721585,0,-4.4308E-06,0
olezud_P1_charged_H,3.40E-07,1.00E-14,3.40E-07,1.00E-14,3.40E-07,1.00E-14,-0.00032122,,-0.000675958,0,-4.1506E-06,0
ovedea_P1,5.23E-07,1.42E-14,5.23E-07,2.01E-14,5.23E-07,0,-0.000176727,,-0.000371895,0,-2.2836E-06,0
oluhag_P1,3.66E-07,0,3.66E-07,1.00E-14,3.66E-07,0,-0.000239118,,-0.000503188,0,-3.0899E-06,0
opawot_P1,1.10E-06,0,1.10E-06,4.92E-14,1.10E-06,2.84E-14,-0.000216846,,-0.000456319,0,-0.000002802,0
opunar_P1_charged,4.62E-07,1.00E-14,4.62E-07,0,4.62E-07,1.42E-14,-0.000322845,,-0.000679378,0,-4.1718E-06,0
otozii_P1,5.00E-07,1.42E-14,5.00E-07,1.42E-14,5.00E-07,1.42E-14,-0.000203529,,-0.000428296,0,-2.6299E-06,0
omipeh_P1_charged_H,5.63E-07,2.01E-14,5.63E-07,0,5.63E-07,2.01E-14,-8.67664E-05,,-0.000182587,0,-1.1212E-06,0
