Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
fancop_P1,3.09634e-07,7.10543e-15,3.09676e-07,7.10543e-15,3.09597e-07,7.10543e-15,-0.0002989518,,-0.0006290989,0.0000000000,-0.0000038630,0.0000000000
fabgum_P1_charged,3.36025e-07,0,3.36067e-07,7.10543e-15,3.35987e-07,7.10543e-15,-0.0002819619,,-0.0005933458,0.0000000000,-0.0000036434,0.0000000000
exotob_P1_H,4.97605e-07,1.42109e-14,4.97627e-07,1.42109e-14,4.97586e-07,1.42109e-14,-0.0000976047,,-0.0002053945,0.0000000000,-0.0000012613,0.0000000000
favfug_P1,3.8564e-07,1.00486e-14,3.85685e-07,1.42109e-14,3.85599e-07,1.42109e-14,-0.0002629675,,-0.0005533750,0.0000000000,-0.0000033979,0.0000000000
fehhei_P1,5.02149e-07,1.42109e-14,5.02189e-07,1.42109e-14,5.02114e-07,1.42109e-14,-0.0001773108,,-0.0003731233,0.0000000000,-0.0000022911,0.0000000000
eyocom_P1,3.12194e-07,7.10543e-15,3.12216e-07,0,3.12175e-07,7.10543e-15,-0.0001563203,,-0.0003289524,0.0000000000,-0.0000020203,0.0000000000
eyoqep_P1,3.50998e-07,1.00486e-14,3.51023e-07,1.00486e-14,3.50976e-07,0,-0.0001604661,,-0.0003376751,0.0000000000,-0.0000020737,0.0000000000
faklou_P1_charged,4.58941e-07,1.42109e-14,4.59024e-07,1.42109e-14,4.58868e-07,1.42109e-14,-0.0004023677,,-0.0008467214,0.0000000000,-0.0000051993,0.0000000000
fahhef_P1,4.00377e-07,0,4.00419e-07,1.00486e-14,4.00339e-07,1.00486e-14,-0.0002384143,,-0.0005017062,0.0000000000,-0.0000030808,0.0000000000
fajlah_P1,2.84252e-07,0,2.84274e-07,0,2.84233e-07,1.00486e-14,-0.0001703476,,-0.0003584718,0.0000000000,-0.0000022005,0.0000000000
fahpov_P1_H,8.40631e-07,0,8.40724e-07,2.84217e-14,8.40547e-07,0,-0.0002496603,,-0.0005253720,0.0000000000,-0.0000032260,0.0000000000
fazgew_P1,2.90228e-07,7.10543e-15,2.90266e-07,0,2.90193e-07,0,-0.0002986367,,-0.0006284360,0.0000000000,-0.0000038590,0.0000000000
ferwac_P1,2.83615e-07,0,2.83667e-07,1.00486e-14,2.83568e-07,0,-0.0004150327,,-0.0008733728,0.0000000000,-0.0000053630,0.0000000000
fidluc_P1_charged_H,3.27142e-07,7.10543e-15,3.2718e-07,7.10543e-15,3.27109e-07,0,-0.0002571472,,-0.0005411267,0.0000000000,-0.0000033227,0.0000000000
faptib_P1,3.91863e-07,1.00486e-14,3.91902e-07,0,3.91829e-07,1.00486e-14,-0.0002203539,,-0.0004637011,0.0000000000,-0.0000028472,0.0000000000
fexjuq_P1,2.49008e-07,7.10543e-15,2.49043e-07,0,2.48978e-07,7.10543e-15,-0.0003094922,,-0.0006512791,0.0000000000,-0.0000039995,0.0000000000
falxun_P1,2.43414e-07,7.10543e-15,2.43443e-07,0,2.43388e-07,7.10543e-15,-0.0002703407,,-0.0005688905,0.0000000000,-0.0000034934,0.0000000000
fagfuq_P1_H,4.78163e-07,1.42109e-14,4.78237e-07,1.42109e-14,4.78098e-07,1.42109e-14,-0.0003446049,,-0.0007251683,0.0000000000,-0.0000044530,0.0000000000
febxiv_P1_H,1.32178e-06,4.01944e-14,1.32189e-06,2.84217e-14,1.32169e-06,4.92278e-14,-0.0001774786,,-0.0003734765,0.0000000000,-0.0000022933,0.0000000000
exeqii_P1,3.95612e-07,0,3.9567e-07,1.00486e-14,3.95561e-07,0,-0.0003270847,,-0.0006883001,0.0000000000,-0.0000042265,0.0000000000
exaxae_P1_H,2.84761e-07,0,2.84781e-07,0,2.84744e-07,0,-0.0001559864,,-0.0003282496,0.0000000000,-0.0000020156,0.0000000000
eziluv_P1,4.29888e-07,0,4.29906e-07,1.42109e-14,4.29873e-07,1.00486e-14,-0.0000911708,,-0.0001918553,0.0000000000,-0.0000011780,0.0000000000
fayqon_P1,4.27803e-07,1.42109e-14,4.27859e-07,1.00486e-14,4.27752e-07,1.00486e-14,-0.0002952833,,-0.0006213787,0.0000000000,-0.0000038157,0.0000000000
fexkax_P1,2.45038e-07,7.10543e-15,2.45072e-07,0,2.45008e-07,0,-0.0003135696,,-0.0006598588,0.0000000000,-0.0000040519,0.0000000000
fepgal_P1,4.9526e-07,1.42109e-14,4.95313e-07,1.42109e-14,4.95212e-07,1.42109e-14,-0.0002418950,,-0.0005090314,0.0000000000,-0.0000031259,0.0000000000
faxsoq_P1,2.99719e-07,7.10543e-15,2.99738e-07,1.00486e-14,2.99701e-07,0,-0.0001469837,,-0.0003093055,0.0000000000,-0.0000018996,0.0000000000
eyacox_P1,3.7614e-07,1.00486e-14,3.76167e-07,0,3.76116e-07,1.00486e-14,-0.0001596831,,-0.0003360285,0.0000000000,-0.0000020634,0.0000000000
fazgia_P1,2.87767e-07,7.10543e-15,2.87806e-07,0,2.87733e-07,7.10543e-15,-0.0003011901,,-0.0006338092,0.0000000000,-0.0000038923,0.0000000000
fakxoi_P1_H,2.78389e-07,0,2.78422e-07,7.10543e-15,2.7836e-07,7.10543e-15,-0.0002647722,,-0.0005571725,0.0000000000,-0.0000034212,0.0000000000
fidfeg_P1,3.29731e-07,7.10543e-15,3.29792e-07,0,3.29676e-07,0,-0.0004192822,,-0.0008823158,0.0000000000,-0.0000054177,0.0000000000
ezinei_P1,2.31411e-07,7.10543e-15,2.31443e-07,7.10543e-15,2.31383e-07,5.0243e-15,-0.0003090912,,-0.0006504351,0.0000000000,-0.0000039941,0.0000000000
fecxoc_P1_charged_H,4.93803e-07,0,4.93835e-07,1.42109e-14,4.93775e-07,0,-0.0001449929,,-0.0003051155,0.0000000000,-0.0000018736,0.0000000000
fehcom_P1,4.2311e-07,0,4.23133e-07,1.42109e-14,4.23089e-07,1.00486e-14,-0.0001225506,,-0.0002578889,0.0000000000,-0.0000015838,0.0000000000
fegniq_P1_charged_H,3.49876e-07,0,3.49931e-07,0,3.49827e-07,1.42109e-14,-0.0003521322,,-0.0007410081,0.0000000000,-0.0000045502,0.0000000000
ezimac_P1,4.29562e-07,1.00486e-14,4.2958e-07,1.00486e-14,4.29547e-07,1.00486e-14,-0.0000912400,,-0.0001920011,0.0000000000,-0.0000011788,0.0000000000
eyojot_P1,4.72126e-07,1.42109e-14,4.72165e-07,1.00486e-14,4.7209e-07,1.42109e-14,-0.0001878746,,-0.0003953530,0.0000000000,-0.0000024278,0.0000000000
lagcuu_P1,2.70902e-07,0,2.70927e-07,7.10543e-15,2.7088e-07,7.10543e-15,-0.0002038428,,-0.0004289568,0.0000000000,-0.0000026339,0.0000000000
larrop_P1,3.96383e-07,1.00486e-14,3.96415e-07,1.00486e-14,3.96354e-07,0,-0.0001807415,,-0.0003803431,0.0000000000,-0.0000023355,0.0000000000
laspom_P1,2.95001e-07,0,2.9503e-07,0,2.94975e-07,0,-0.0002209222,,-0.0004648962,0.0000000000,-0.0000028542,0.0000000000
lajlit_P1_charged_H,3.97885e-07,0,3.97915e-07,1.42109e-14,3.97858e-07,1.00486e-14,-0.0001702090,,-0.0003581791,0.0000000000,-0.0000021994,0.0000000000
kukmua_P1_H,2.87533e-07,1.00486e-14,2.87561e-07,7.10543e-15,2.87508e-07,1.00486e-14,-0.0002195220,,-0.0004619504,0.0000000000,-0.0000028368,0.0000000000
lasdeq_P1_H,4.63535e-07,1.74047e-14,4.6355e-07,1.42109e-14,4.63521e-07,0,-0.0000731035,,-0.0001538350,0.0000000000,-0.0000009446,0.0000000000
lacnub_P1,4.49798e-07,1.00486e-14,4.49834e-07,1.42109e-14,4.49766e-07,1.00486e-14,-0.0001779700,,-0.0003745107,0.0000000000,-0.0000023000,0.0000000000
kozqex_P1_H,8.91163e-07,2.00972e-14,8.91303e-07,2.00972e-14,8.91037e-07,2.00972e-14,-0.0003529657,,-0.0007427625,0.0000000000,-0.0000045610,0.0000000000
lavtej_P1_H,2.43382e-07,0,2.43411e-07,7.10543e-15,2.43355e-07,0,-0.0002745845,,-0.0005778213,0.0000000000,-0.0000035481,0.0000000000
