,Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
1993,pahyuw_P1_H,3.7842e-06,2.04703e-08,8.16048e-06,1.57304e-08,1.07851e-06,1.19729e-09,-5.8056675163,,-8.7414408299,0.0203818939,-0.6464444517,0.0050133051
1994,pappab08_P1,4.39142e-06,1.79768e-08,1.68931e-05,2.97305e-07,3.93953e-07,6.31322e-10,-10.537125936,,-15.1821260596,0.0938276113,-1.3773467729,0.0084680278
1995,pefsuq_P1_H,1.77356e-06,1.30994e-08,1.23602e-05,2.14829e-07,6.10587e-08,3.71195e-10,-13.6794609013,,-18.8813889269,0.0398150611,-2.1249955489,0.0054140423
1996,pexgux_P1,4.4279e-06,3.62758e-08,3.07708e-05,9.56857e-07,1.33891e-07,8.4421e-10,-14.0766226477,,-19.8660830845,0.0942781604,-2.1375008371,0.0098643059
1997,pictig_P1,3.11304e-06,2.01646e-08,1.1975e-05,1.44658e-07,2.6046e-07,7.06786e-10,-10.794663426,,-15.0097488055,0.0638316012,-1.631621262,0.0101001353
1998,pahxuv_P1_H,3.73874e-06,1.75192e-08,8.04008e-06,1.06299e-07,1.08327e-06,1.12326e-09,-5.7399510117,,-8.6566218027,0.0466697397,-0.637193819,0.0047157962
1999,pappab_P1,4.40824e-06,7.54187e-09,1.67537e-05,2.24567e-07,3.94568e-07,1.06311e-09,-10.5508635042,,-15.1156070909,0.0462316419,-1.3719000789,0.0046614393
2000,pappab04_P1,4.37546e-06,3.76914e-08,1.67775e-05,7.16896e-08,3.94333e-07,7.59594e-10,-10.5070935179,,-15.1323968894,0.0307823826,-1.3721592143,0.0019249948
2001,peysiw_P1_charged,8.53257e-06,6.4141e-08,5.84191e-05,7.56182e-07,1.59529e-07,9.72363e-10,-16.7685062363,,-21.4262325056,0.0385509779,-2.7770193508,0.0077833162
2002,pappab09_P1,4.39154e-06,2.34669e-08,1.67812e-05,1.34095e-07,3.94301e-07,1.0294e-09,-10.5390626156,,-15.1465254143,0.0551177292,-1.3743846297,0.0041470318
2003,pahyoq_P1_H,3.76149e-06,1.89127e-08,8.18403e-06,4.44606e-08,1.06399e-06,1.52563e-09,-5.842435891,,-8.8017580477,0.0299055476,-0.6511986595,0.0065711593
2004,pagsav_P1,2.19744e-06,1.20377e-07,2.27522e-05,5.14241e-07,5.01522e-08,1.84243e-10,-18.3127484067,,-24.6304357643,0.0908745938,-2.747763674,0.0094278952
2005,pappab10_P1,4.42871e-06,3.06914e-08,1.70125e-05,4.8767e-08,3.9353e-07,1.26955e-09,-10.5869027571,,-15.2050243034,0.0514954702,-1.3795401859,0.0106799415
2006,pappab02_P1,4.33697e-06,2.29191e-08,1.62908e-05,1.7784e-07,3.95502e-07,5.82448e-10,-10.4451190182,,-14.9765239727,0.0511220112,-1.3648619149,0.0065969086
2007,pibbek_P1,5.68009e-06,7.23562e-08,4.69256e-05,3.61518e-07,1.05847e-07,3.09985e-10,-16.3231055123,,-21.9482597143,0.0165145824,-2.5681503601,0.0093035676
